weathertypeid,locationid,eventdate,severity
2,198,2020-01-12,Moderate
3,199,2020-04-12,Light
3,200,2020-04-01,Light
2,201,2020-03-21,Light
2,202,2020-10-26,Light
1,203,2020-11-15,Severe
2,204,2020-12-30,Light
2,205,2020-02-11,Light
2,206,2020-10-24,Light
3,207,2020-01-14,Light
1,208,2020-08-08,Severe
2,163,2020-05-26,Light
1,209,2020-09-16,Severe
1,210,2020-09-28,Severe
2,211,2020-01-17,Light
3,212,2020-12-12,Heavy
2,115,2020-03-03,Light
2,213,2020-07-06,Light
1,214,2020-06-22,Severe
2,215,2020-02-02,Light
2,216,2020-07-11,Light
2,217,2020-11-30,Moderate
1,218,2020-11-30,Severe
2,219,2020-12-12,Light
2,220,2020-07-11,Light
1,221,2020-05-02,Moderate
2,222,2020-02-23,Light
2,223,2020-06-30,Light
1,224,2020-05-04,Severe
2,225,2020-01-29,Light
2,226,2020-09-25,Moderate
2,227,2020-11-01,Light
1,228,2020-11-25,Severe
2,165,2020-03-19,Light
2,229,2020-07-30,Light
1,230,2020-12-22,Moderate
2,177,2020-04-02,Moderate
2,231,2020-07-27,Light
2,232,2020-04-04,Light
2,233,2020-01-04,Light
2,234,2020-02-13,Light
2,235,2020-02-15,Light
1,109,2020-11-06,Severe
1,95,2020-01-12,Moderate
2,58,2020-06-08,Moderate
2,237,2020-09-28,Light
1,238,2020-07-09,Severe
1,239,2020-08-24,Moderate
1,240,2020-10-19,Moderate
2,106,2020-09-23,Light
2,241,2020-09-08,Light
2,242,2020-01-26,Moderate
2,243,2020-09-06,Light
2,219,2020-10-12,Light
2,244,2020-06-05,Light
2,245,2020-12-13,Light
5,246,2020-07-24,Severe
2,247,2020-03-03,Light
2,248,2020-06-16,Light
3,249,2020-01-18,Light
2,52,2020-11-20,Light
2,250,2020-06-07,Moderate
2,61,2020-04-09,Light
2,26,2020-03-15,Light
3,251,2020-12-17,Light
2,147,2020-03-18,Light
2,253,2020-10-28,Moderate
1,254,2020-09-10,Moderate
3,255,2020-03-13,Light
1,256,2020-01-28,Severe
2,257,2020-05-14,Light
2,49,2020-05-20,Light
2,163,2020-03-13,Light
2,259,2020-10-26,Light
2,260,2020-11-23,Moderate
1,261,2020-08-15,Moderate
2,262,2020-07-10,Light
1,263,2020-08-29,Moderate
3,264,2020-11-24,Heavy
1,265,2020-10-27,Severe
2,266,2020-08-30,Light
3,267,2020-01-07,Light
2,268,2020-10-10,Light
1,205,2020-05-17,Moderate
2,177,2020-09-28,Light
3,269,2020-02-07,Light
2,213,2020-12-12,Light
1,271,2020-04-12,Moderate
2,272,2020-11-07,Moderate
1,273,2020-09-02,Severe
3,274,2020-02-28,Moderate
1,275,2020-05-12,Severe
2,276,2020-12-25,Light
2,277,2020-11-11,Light
1,278,2020-01-02,Moderate
2,279,2020-04-30,Light
3,93,2020-10-22,Light
2,110,2020-03-23,Moderate
3,280,2020-01-11,Light
2,281,2020-10-10,Moderate
5,282,2020-02-18,Severe
5,283,2020-09-30,Severe
2,284,2020-03-10,Light
1,138,2020-07-21,Severe
2,285,2020-03-10,Light
3,286,2020-02-08,Light
2,287,2020-02-06,Moderate
2,137,2020-04-07,Light
1,288,2020-02-17,Severe
1,289,2020-02-17,Severe
1,290,2020-02-09,Moderate
2,291,2020-10-27,Light
2,292,2020-02-05,Light
1,293,2020-05-20,Severe
1,294,2020-10-28,Severe
2,295,2020-05-09,Light
6,296,2020-06-13,Severe
2,297,2020-06-29,Light
2,298,2020-09-30,Light
1,299,2020-09-14,Moderate
1,156,2020-11-01,Moderate
1,300,2020-08-20,Severe
2,301,2020-09-28,Light
2,302,2020-08-15,Light
2,303,2020-06-12,Light
5,304,2020-12-24,Severe
2,305,2020-02-25,Moderate
2,306,2020-08-13,Light
2,26,2020-12-04,Light
2,307,2020-06-07,Light
1,242,2020-10-06,Severe
2,308,2020-05-02,Light
3,106,2020-12-22,Light
1,282,2020-01-10,Severe
1,309,2020-02-26,Severe
2,277,2020-06-23,Light
1,310,2020-01-17,Severe
2,311,2020-02-10,Moderate
1,312,2020-11-15,Severe
3,313,2020-11-10,Light
2,210,2020-02-27,Light
2,314,2020-01-03,Light
2,315,2020-04-02,Light
1,316,2020-10-03,Severe
2,317,2020-09-13,Light
2,26,2020-07-29,Light
2,318,2020-02-05,Light
2,319,2020-12-24,Light
2,203,2020-08-03,Moderate
2,3,2020-09-25,Light
3,321,2020-02-14,Light
2,322,2020-01-26,Light
2,323,2020-02-07,Light
1,324,2020-10-28,Severe
1,32,2020-04-20,Severe
2,325,2020-11-15,Light
4,37,2020-02-06,UNK
3,326,2020-04-09,Light
2,327,2020-01-03,Light
2,328,2020-09-02,Light
2,329,2020-05-03,Moderate
1,330,2020-11-23,Moderate
3,98,2020-11-11,Moderate
2,331,2020-05-05,Light
3,332,2020-02-10,Light
2,333,2020-01-18,Light
2,112,2020-10-29,Light
2,215,2020-09-24,Light
2,334,2020-05-13,Light
1,335,2020-01-15,Severe
1,336,2020-05-23,Severe
2,335,2020-01-18,Moderate
2,337,2020-07-31,Light
1,338,2020-04-12,Moderate
2,339,2020-11-13,Light
1,340,2020-02-10,Severe
1,52,2020-01-17,Moderate
3,342,2020-01-16,Light
2,343,2020-07-02,Light
5,344,2020-11-19,Severe
2,345,2020-10-12,Light
3,346,2020-01-27,Light
3,347,2020-12-12,Light
1,348,2020-10-19,Severe
2,349,2020-08-14,Light
2,350,2020-08-15,Light
4,351,2020-05-30,UNK
2,352,2020-04-05,Light
2,353,2020-03-19,Light
3,354,2020-02-26,Light
2,107,2020-10-28,Moderate
2,355,2020-09-28,Heavy
2,26,2020-02-04,Light
2,357,2020-03-24,Light
2,358,2020-10-16,Light
1,359,2020-01-26,Severe
2,235,2020-01-31,Light
2,116,2020-01-11,Light
3,281,2020-02-21,Light
3,345,2020-12-14,Moderate
2,5,2020-12-12,Moderate
2,360,2020-11-25,Light
2,361,2020-11-27,Light
2,362,2020-09-13,Light
1,363,2020-01-31,Moderate
4,364,2020-08-28,UNK
5,365,2020-09-15,Severe
2,366,2020-07-19,Light
5,367,2020-02-14,Severe
2,368,2020-10-18,Light
3,369,2020-02-12,Light
1,370,2020-02-18,Severe
2,371,2020-09-07,Light
3,372,2020-12-16,Light
2,373,2020-04-04,Light
1,374,2020-10-23,Severe
1,24,2020-10-22,Severe
2,375,2020-08-07,Light
5,376,2020-11-30,Severe
4,377,2020-06-26,UNK
2,378,2020-10-11,Moderate
2,379,2020-05-26,Light
2,380,2020-07-09,Light
1,2,2020-11-23,Severe
2,381,2020-02-19,Light
1,382,2020-11-17,Moderate
2,383,2020-05-18,Light
3,384,2020-12-23,Light
3,213,2020-12-29,Moderate
2,385,2020-05-18,Light
2,386,2020-04-26,Light
2,277,2020-08-28,Light
2,7,2020-08-23,Heavy
3,387,2020-01-05,Light
2,235,2020-03-27,Light
2,59,2020-08-31,Light
5,389,2020-12-02,Severe
2,328,2020-05-16,Light
2,95,2020-06-27,Light
1,390,2020-08-24,Severe
3,391,2020-03-23,Moderate
2,392,2020-03-03,Light
2,105,2020-11-01,Light
2,14,2020-07-08,Light
2,92,2020-07-11,Light
3,395,2020-12-16,Light
1,396,2020-11-27,Severe
1,397,2020-11-23,Severe
2,398,2020-04-18,Light
3,399,2020-03-09,Moderate
2,141,2020-04-01,Light
2,400,2020-03-16,Light
3,401,2020-02-06,Light
2,402,2020-05-25,Light
2,395,2020-03-03,Light
1,403,2020-12-15,Severe
4,404,2020-05-22,UNK
2,115,2020-01-10,Light
2,405,2020-08-09,Light
2,406,2020-03-19,Light
1,407,2020-01-23,Moderate
2,408,2020-06-12,Moderate
2,409,2020-02-04,Light
2,410,2020-01-16,Light
2,411,2020-04-09,Light
1,412,2020-01-31,Severe
2,413,2020-05-26,Light
2,414,2020-09-17,Moderate
2,415,2020-07-31,Light
1,416,2020-02-11,Severe
5,417,2020-09-30,Severe
2,418,2020-08-13,Light
1,419,2020-08-13,Severe
2,420,2020-06-16,Light
3,421,2020-01-05,Light
2,422,2020-11-11,Light
3,423,2020-12-12,Light
2,323,2020-05-21,Moderate
1,424,2020-04-25,Severe
2,425,2020-03-04,Light
1,426,2020-12-31,Severe
1,321,2020-09-26,Severe
2,428,2020-12-25,Light
2,209,2020-09-30,Light
2,429,2020-06-10,Light
1,430,2020-02-18,Severe
2,431,2020-12-24,Heavy
1,432,2020-08-26,Severe
4,433,2020-05-17,UNK
2,434,2020-05-14,Light
2,34,2020-07-18,Light
1,253,2020-02-09,Severe
2,436,2020-12-10,Light
2,437,2020-05-18,Moderate
2,67,2020-05-15,Light
2,438,2020-04-03,Light
2,439,2020-07-15,Light
3,334,2020-10-20,Moderate
3,21,2020-10-24,Moderate
2,56,2020-01-04,Light
2,32,2020-02-10,Light
2,440,2020-01-24,Moderate
1,441,2020-03-19,Severe
2,442,2020-02-24,Light
2,443,2020-06-11,Light
2,444,2020-10-19,Light
1,445,2020-09-26,Severe
1,446,2020-08-06,Severe
2,447,2020-05-14,Light
3,448,2020-12-19,Light
1,196,2020-10-14,Severe
2,449,2020-09-22,Moderate
1,450,2020-01-25,Severe
2,451,2020-05-06,Light
2,311,2020-02-16,Light
2,290,2020-03-10,Light
1,453,2020-02-10,Severe
2,454,2020-06-20,Light
2,59,2020-07-30,Light
1,455,2020-09-10,Severe
2,94,2020-06-25,Light
1,456,2020-02-25,Severe
3,457,2020-01-29,Light
2,274,2020-08-18,Light
2,458,2020-03-25,Light
2,408,2020-05-21,Moderate
2,216,2020-01-28,Light
1,460,2020-11-04,Severe
2,204,2020-05-18,Light
5,198,2020-07-13,Severe
2,461,2020-05-15,Light
1,462,2020-07-22,Severe
3,463,2020-04-15,Light
1,464,2020-03-07,Severe
2,465,2020-04-19,Light
1,466,2020-10-23,Severe
2,467,2020-08-29,Light
2,468,2020-07-03,Light
1,122,2020-12-20,Severe
2,469,2020-10-19,Light
1,470,2020-09-26,Severe
1,471,2020-10-18,Severe
2,138,2020-12-30,Light
2,472,2020-12-13,Light
3,391,2020-04-09,Light
3,405,2020-02-27,Light
3,473,2020-04-15,Light
2,118,2020-12-24,Moderate
2,474,2020-04-23,Light
2,275,2020-02-25,Light
2,475,2020-03-28,Light
3,476,2020-12-09,Light
1,47,2020-10-21,Severe
3,477,2020-03-14,Light
1,478,2020-11-14,Severe
1,479,2020-09-10,Severe
2,480,2020-07-06,Moderate
2,249,2020-03-20,Light
2,11,2020-06-16,Light
1,481,2020-04-06,Severe
2,482,2020-02-20,Light
1,26,2020-07-17,Severe
3,483,2020-02-26,Light
2,484,2020-02-26,Light
3,384,2020-12-22,Light
2,215,2020-01-10,Light
4,67,2020-05-26,UNK
1,273,2020-05-27,Severe
1,141,2020-09-23,Severe
2,485,2020-02-13,Light
1,486,2020-10-24,Severe
2,203,2020-06-30,Moderate
2,487,2020-12-13,Light
1,488,2020-06-16,Severe
5,489,2020-07-27,Severe
2,490,2020-03-10,Light
2,491,2020-03-29,Light
2,492,2020-01-27,Light
1,493,2020-03-15,Severe
2,494,2020-07-22,Light
2,495,2020-01-14,Light
2,5,2020-05-11,Light
3,379,2020-01-12,Light
2,311,2020-08-18,Light
2,338,2020-06-24,Light
2,227,2020-03-24,Light
1,499,2020-09-13,Severe
2,26,2020-07-12,Moderate
1,500,2020-09-17,Moderate
2,501,2020-12-25,Moderate
2,502,2020-02-14,Light
2,503,2020-01-16,Light
2,504,2020-04-18,Light
1,262,2020-04-20,Severe
1,159,2020-06-15,Moderate
2,112,2020-03-04,Light
1,276,2020-03-03,Severe
2,482,2020-06-10,Light
4,507,2020-04-24,UNK
2,192,2020-02-26,Light
3,508,2020-03-04,Light
1,159,2020-10-04,Severe
1,302,2020-08-01,Severe
1,509,2020-09-25,Severe
1,242,2020-08-22,Severe
2,189,2020-11-28,Light
2,246,2020-09-10,Light
2,512,2020-02-06,Moderate
2,513,2020-01-21,Light
2,419,2020-10-15,Light
2,515,2020-02-11,Light
2,516,2020-08-29,Light
2,114,2020-10-23,Light
1,109,2020-09-01,Severe
2,25,2020-09-28,Light
1,518,2020-05-13,Severe
2,519,2020-04-23,Light
2,520,2020-08-22,Moderate
2,389,2020-06-20,Light
3,521,2020-01-16,Light
2,522,2020-03-16,Moderate
3,523,2020-04-09,Light
2,524,2020-07-31,Light
1,525,2020-09-11,Severe
3,526,2020-10-26,Light
3,527,2020-12-28,Light
2,528,2020-01-24,Light
1,529,2020-01-13,Severe
2,530,2020-03-03,Light
1,531,2020-12-31,Severe
2,532,2020-05-03,Light
2,203,2020-09-01,Light
2,482,2020-02-10,Moderate
2,426,2020-12-30,Light
2,18,2020-06-16,Moderate
2,534,2020-02-04,Light
1,535,2020-09-29,Severe
2,266,2020-03-13,Light
2,536,2020-04-09,Light
2,537,2020-03-03,Light
2,134,2020-05-17,Light
1,538,2020-12-21,Severe
1,539,2020-11-10,Severe
2,540,2020-09-03,Light
1,541,2020-08-03,Moderate
1,114,2020-09-02,Severe
1,542,2020-09-08,Severe
2,543,2020-03-24,Light
2,544,2020-10-21,Light
6,45,2020-10-31,Severe
2,197,2020-01-04,Light
3,387,2020-03-01,Light
2,545,2020-06-29,Moderate
2,546,2020-04-13,Light
1,547,2020-02-07,Severe
2,548,2020-02-01,Light
2,549,2020-02-10,Moderate
2,550,2020-10-30,Light
2,337,2020-01-25,Light
2,445,2020-05-23,Light
1,552,2020-09-24,Moderate
2,553,2020-05-27,Heavy
2,554,2020-03-11,Light
2,555,2020-02-17,Light
1,397,2020-01-12,Severe
2,333,2020-11-14,Moderate
3,346,2020-01-26,Heavy
3,556,2020-01-27,Light
3,557,2020-11-24,Light
2,558,2020-02-07,Moderate
1,559,2020-01-24,Severe
2,560,2020-03-03,Light
1,561,2020-01-29,Severe
1,562,2020-06-28,Severe
2,563,2020-09-20,Light
3,491,2020-01-03,Light
1,326,2020-01-30,Severe
2,145,2020-10-19,Light
1,386,2020-06-20,Severe
2,3,2020-05-26,Light
5,565,2020-11-24,Severe
1,566,2020-11-21,Severe
1,262,2020-09-10,Severe
2,420,2020-03-30,Light
2,367,2020-04-28,Moderate
3,567,2020-02-08,Light
3,203,2020-12-18,Light
4,568,2020-10-12,UNK
2,569,2020-06-14,Light
1,538,2020-10-21,Severe
3,570,2020-03-14,Light
3,499,2020-12-14,Light
1,157,2020-09-07,Moderate
2,378,2020-07-31,Light
1,245,2020-02-18,Severe
1,571,2020-09-23,Severe
3,572,2020-03-29,Light
4,573,2020-04-23,UNK
2,574,2020-05-14,Light
3,575,2020-04-13,Light
5,576,2020-06-11,Severe
1,577,2020-08-02,Severe
3,63,2020-11-16,Moderate
2,578,2020-04-13,Moderate
2,294,2020-02-07,Moderate
3,579,2020-12-13,Moderate
2,167,2020-01-31,Light
1,108,2020-01-18,Severe
1,580,2020-03-19,Severe
2,581,2020-08-03,Light
1,582,2020-12-07,Severe
2,583,2020-05-11,Light
2,584,2020-01-29,Light
3,585,2020-02-05,Light
2,381,2020-10-19,Light
1,39,2020-11-05,Severe
2,586,2020-07-21,Heavy
4,587,2020-05-19,UNK
2,588,2020-11-11,Light
2,589,2020-07-22,Light
2,580,2020-05-25,Light
1,591,2020-01-19,Severe
1,592,2020-12-19,Severe
1,106,2020-10-16,Moderate
2,593,2020-04-18,Moderate
3,594,2020-02-12,Moderate
1,261,2020-07-06,Moderate
1,595,2020-09-14,Moderate
2,596,2020-01-30,Light
1,597,2020-02-26,Severe
1,598,2020-11-24,Severe
2,599,2020-06-05,Light
2,464,2020-05-13,Light
3,600,2020-10-25,Light
2,601,2020-03-02,Light
3,602,2020-04-22,Light
1,603,2020-05-25,Severe
2,240,2020-12-31,Light
1,586,2020-07-07,Severe
2,480,2020-02-19,Moderate
2,205,2020-10-09,Light
2,604,2020-01-14,Light
1,605,2020-12-15,Severe
2,7,2020-08-14,Light
1,371,2020-01-15,Moderate
2,606,2020-10-19,Light
2,607,2020-10-24,Light
1,591,2020-03-26,Severe
2,273,2020-02-02,Light
2,478,2020-05-29,Moderate
2,608,2020-01-04,Light
1,609,2020-01-18,Severe
2,263,2020-06-21,Light
2,447,2020-01-03,Light
1,336,2020-10-09,Severe
2,611,2020-09-16,Light
1,612,2020-03-12,Severe
1,613,2020-12-15,Severe
1,614,2020-06-28,Moderate
2,615,2020-06-26,Light
1,566,2020-11-27,Severe
3,617,2020-04-01,Light
2,408,2020-04-30,Heavy
2,618,2020-04-29,Moderate
2,408,2020-09-18,Moderate
5,376,2020-12-12,Severe
2,441,2020-11-26,Light
2,575,2020-06-01,Moderate
1,620,2020-03-09,Severe
2,81,2020-10-07,Light
1,384,2020-11-02,Moderate
2,622,2020-11-02,Moderate
2,5,2020-01-29,Light
1,623,2020-06-02,Moderate
2,139,2020-08-06,Light
1,624,2020-09-06,Moderate
2,625,2020-09-09,Light
2,19,2020-04-18,Light
2,475,2020-09-07,Light
2,321,2020-10-25,Moderate
5,628,2020-08-06,Severe
2,629,2020-05-22,Light
2,630,2020-06-09,Light
2,631,2020-03-28,Moderate
3,251,2020-12-19,Light
5,632,2020-12-14,Severe
2,633,2020-04-23,Light
1,634,2020-01-08,Severe
2,625,2020-06-08,Light
3,296,2020-02-03,Light
2,635,2020-08-19,Light
2,2,2020-03-24,Moderate
2,636,2020-09-10,Light
3,56,2020-02-09,Light
2,361,2020-02-19,Light
1,638,2020-03-17,Severe
1,639,2020-08-21,Moderate
2,405,2020-10-29,Light
3,640,2020-01-11,Light
2,68,2020-10-16,Light
2,403,2020-02-12,Light
2,148,2020-06-08,Light
2,641,2020-04-20,Heavy
1,132,2020-08-04,Moderate
3,642,2020-04-18,Light
1,135,2020-05-23,Severe
1,344,2020-05-29,Moderate
1,643,2020-10-01,Moderate
2,118,2020-12-14,Light
1,644,2020-12-27,Severe
3,315,2020-12-20,Light
1,338,2020-02-12,Severe
3,640,2020-09-08,Heavy
3,646,2020-05-08,Light
1,647,2020-10-22,Severe
1,94,2020-05-24,Moderate
3,649,2020-12-16,Light
2,370,2020-11-11,Light
2,359,2020-06-19,Light
1,650,2020-02-11,Moderate
2,411,2020-04-20,Light
1,232,2020-09-06,Severe
1,238,2020-12-13,Moderate
3,651,2020-11-24,Light
2,652,2020-02-01,Light
2,653,2020-06-28,Light
2,43,2020-02-14,Light
2,654,2020-07-26,Light
1,655,2020-07-06,Severe
3,656,2020-02-22,Light
1,657,2020-03-27,Severe
2,658,2020-04-02,Light
2,562,2020-09-29,Light
3,659,2020-12-29,Light
1,159,2020-07-16,Moderate
2,460,2020-09-23,Heavy
2,660,2020-01-24,Light
1,661,2020-03-19,Severe
2,662,2020-01-02,Light
2,215,2020-01-12,Light
2,429,2020-05-17,Light
5,417,2020-10-31,Severe
2,663,2020-02-23,Light
2,488,2020-03-05,Light
2,398,2020-12-20,Light
1,638,2020-10-30,Moderate
1,664,2020-10-25,Severe
2,112,2020-11-30,Light
2,666,2020-03-25,Light
1,667,2020-04-08,Severe
2,668,2020-10-17,Moderate
2,301,2020-09-09,Light
4,669,2020-09-28,UNK
2,454,2020-12-30,Light
2,348,2020-04-01,Light
1,669,2020-12-04,Severe
1,670,2020-08-23,Moderate
1,671,2020-08-21,Moderate
2,672,2020-05-04,Light
3,673,2020-12-20,Moderate
1,674,2020-09-25,Severe
2,261,2020-02-07,Light
1,675,2020-03-03,Moderate
3,676,2020-03-14,Light
2,545,2020-07-06,Light
2,677,2020-03-29,Light
2,678,2020-11-30,Light
2,5,2020-08-09,Light
2,679,2020-03-25,Light
2,26,2020-02-17,Light
2,681,2020-09-23,Heavy
2,174,2020-09-25,Light
2,563,2020-04-19,Heavy
2,682,2020-06-10,Light
2,555,2020-01-11,Light
2,683,2020-04-23,Light
3,18,2020-12-23,Light
1,571,2020-04-21,Moderate
3,65,2020-12-14,Light
2,11,2020-03-23,Light
2,204,2020-10-19,Light
2,176,2020-02-06,Moderate
3,26,2020-03-14,Light
2,65,2020-10-01,Light
1,104,2020-01-23,Severe
2,593,2020-02-11,Light
2,593,2020-09-09,Moderate
1,685,2020-10-18,Severe
2,686,2020-05-14,Light
1,110,2020-05-26,Severe
2,661,2020-05-11,Light
1,687,2020-02-29,Severe
2,688,2020-03-31,Light
2,315,2020-10-05,Light
2,655,2020-06-05,Light
2,689,2020-07-07,Light
1,690,2020-01-13,Severe
2,23,2020-03-04,Light
1,691,2020-03-28,Severe
1,692,2020-09-23,Severe
5,366,2020-04-16,Severe
2,693,2020-12-11,Light
2,694,2020-05-23,Light
3,695,2020-03-03,Light
4,147,2020-06-19,UNK
2,323,2020-07-11,Light
2,697,2020-06-14,Light
2,698,2020-05-17,Moderate
2,699,2020-08-06,Light
2,312,2020-06-24,Heavy
1,292,2020-01-14,Severe
2,138,2020-12-19,Light
1,701,2020-10-09,Severe
3,602,2020-01-08,Light
2,635,2020-02-01,Light
1,448,2020-08-27,Severe
2,474,2020-10-25,Light
2,294,2020-11-23,Light
2,702,2020-10-03,Light
4,10,2020-04-24,UNK
3,703,2020-02-04,Light
1,704,2020-03-25,Severe
1,321,2020-11-24,Moderate
2,705,2020-08-30,Moderate
1,706,2020-05-15,Severe
2,707,2020-11-13,Light
1,601,2020-12-29,Severe
3,526,2020-02-01,Light
2,708,2020-07-15,Light
2,709,2020-02-05,Light
1,710,2020-03-30,Severe
1,302,2020-10-27,Severe
2,679,2020-05-10,Moderate
2,712,2020-05-31,Light
1,268,2020-11-09,Severe
2,713,2020-05-16,Light
3,714,2020-12-18,Light
2,715,2020-04-26,Light
2,716,2020-11-11,Moderate
2,717,2020-01-16,Light
1,718,2020-12-21,Severe
2,503,2020-04-04,Light
2,719,2020-10-19,Heavy
1,10,2020-03-05,Severe
2,41,2020-01-28,Light
2,657,2020-06-08,Light
2,721,2020-10-26,Heavy
